position,track_name,artist,streams,top_week,top_year,top_month,top_first_day,valence,release_year
3,I Fall Apart,Post Malone,6673907,1,2017,12,29,0.291,2016
25,Congratulations,Post Malone,4116779,1,2017,12,29,0.492,2016
36,goosebumps,Travis Scott,3323557,1,2017,12,29,0.442,2016
66,Go Flex,Post Malone,2263112,1,2017,12,29,0.127,2016
70,Redbone,Childish Gambino,2132516,1,2017,12,29,0.572,2016
81,White Iverson,Post Malone,1998000,1,2017,12,29,0.309,2016
83,Mi Gente,J Balvin,1979480,1,2017,12,29,0.469,2020
84,Closer,The Chainsmokers,1937933,1,2017,12,29,0.661,2016
89,That's What I Like,Bruno Mars,1888517,1,2017,12,29,0.86,2016
97,Say You Won't Let Go,James Arthur,1805636,1,2017,12,29,0.494,2016
98,What Ifs,Kane Brown,1798785,1,2017,12,29,0.687,2016
105,One Dance,Drake,1766161,1,2017,12,29,0.37,2016
135,No Role Modelz,J. Cole,1551632,1,2017,12,29,0.463,2014
138,Starboy,The Weeknd,1537914,1,2017,12,29,0.486,2016
162,No Option,Post Malone,1368644,1,2017,12,29,0.494,2016
167,PRBLMS,6LACK,1327614,1,2017,12,29,0.139,2016
168,Don't,Bryson Tiller,1318533,1,2017,12,29,0.189,2015
173,Exchange,Bryson Tiller,1298390,1,2017,12,29,0.276,2015
174,Money Longer,Lil Uzi Vert,1297934,1,2017,12,29,0.478,2016
178,No Problem,Chance the Rapper,1264882,1,2017,12,29,0.788,2016
179,Mayores,Becky G,1264291,1,2017,12,29,0.874,2019
181,Die For You,The Weeknd,1258634,1,2017,12,29,0.51,2016
184,Heartache On The Dance Floor,Jon Pardi,1252239,1,2017,12,29,0.618,2016
185,Swang,Rae Sremmurd,1247887,1,2017,12,29,0.166,2016
191,pick up the phone,Young Thug,1224640,1,2017,12,29,0.459,2016
200,Ex Calling,6LACK,1196048,1,2017,12,29,0.0588,2016
5,I Fall Apart,Post Malone,6971450,2,2018,01,05,0.291,2016
30,Congratulations,Post Malone,4113995,2,2018,01,05,0.492,2016
42,goosebumps,Travis Scott,3327102,2,2018,01,05,0.442,2016
69,Go Flex,Post Malone,2341546,2,2018,01,05,0.127,2016
91,White Iverson,Post Malone,2016953,2,2018,01,05,0.309,2016
101,That's What I Like,Bruno Mars,1904034,2,2018,01,05,0.86,2016
105,Say You Won't Let Go,James Arthur,1850900,2,2018,01,05,0.494,2016
108,What Ifs,Kane Brown,1813165,2,2018,01,05,0.687,2016
115,Mi Gente,J Balvin,1780184,2,2018,01,05,0.469,2020
137,No Role Modelz,J. Cole,1592429,2,2018,01,05,0.463,2014
146,Closer,The Chainsmokers,1522209,2,2018,01,05,0.661,2016
155,Starboy,The Weeknd,1448094,2,2018,01,05,0.486,2016
159,PRBLMS,6LACK,1431986,2,2018,01,05,0.139,2016
164,Die For You,The Weeknd,1410265,2,2018,01,05,0.51,2016
165,Don't,Bryson Tiller,1405568,2,2018,01,05,0.189,2015
172,Broccoli,Shelley FKA DRAM,1357126,2,2018,01,05,0.708,2016
176,Money Longer,Lil Uzi Vert,1343948,2,2018,01,05,0.478,2016
177,Exchange,Bryson Tiller,1343059,2,2018,01,05,0.276,2015
181,One Dance,Drake,1334327,2,2018,01,05,0.37,2016
185,X,21 Savage,1317977,2,2018,01,05,0.111,2016
187,Heartache On The Dance Floor,Jon Pardi,1308623,2,2018,01,05,0.618,2016
191,Mayores,Becky G,1300513,2,2018,01,05,0.874,2019
198,pick up the phone,Young Thug,1270760,2,2018,01,05,0.459,2016
6,I Fall Apart,Post Malone,6657315,3,2018,01,12,0.291,2016
32,Congratulations,Post Malone,4058217,3,2018,01,12,0.492,2016
48,goosebumps,Travis Scott,3185587,3,2018,01,12,0.442,2016
74,Go Flex,Post Malone,2293803,3,2018,01,12,0.127,2016
86,Redbone,Childish Gambino,2056061,3,2018,01,12,0.572,2016
91,White Iverson,Post Malone,1982923,3,2018,01,12,0.309,2016
107,Say You Won't Let Go,James Arthur,1812221,3,2018,01,12,0.494,2016
110,What Ifs,Kane Brown,1803188,3,2018,01,12,0.687,2016
116,That's What I Like,Bruno Mars,1775223,3,2018,01,12,0.86,2016
128,Mi Gente,J Balvin,1691375,3,2018,01,12,0.469,2020
141,No Role Modelz,J. Cole,1593263,3,2018,01,12,0.463,2014
152,Closer,The Chainsmokers,1505749,3,2018,01,12,0.661,2016
160,Die For You,The Weeknd,1455811,3,2018,01,12,0.51,2016
164,Don't,Bryson Tiller,1436247,3,2018,01,12,0.189,2015
166,Starboy,The Weeknd,1432159,3,2018,01,12,0.486,2016
173,PRBLMS,6LACK,1406540,3,2018,01,12,0.139,2016
177,X,21 Savage,1389072,3,2018,01,12,0.111,2016
180,No Option,Post Malone,1380908,3,2018,01,12,0.494,2016
183,Exchange,Bryson Tiller,1372209,3,2018,01,12,0.276,2015
186,Money Longer,Lil Uzi Vert,1367482,3,2018,01,12,0.478,2016
194,One Dance,Drake,1332772,3,2018,01,12,0.37,2016
6,I Fall Apart,Post Malone,6557861,4,2018,01,19,0.291,2016
29,Congratulations,Post Malone,4142267,4,2018,01,19,0.492,2016
52,goosebumps,Travis Scott,3125168,4,2018,01,19,0.442,2016
80,Go Flex,Post Malone,2304879,4,2018,01,19,0.127,2016
89,Redbone,Childish Gambino,2077538,4,2018,01,19,0.572,2016
99,White Iverson,Post Malone,1976456,4,2018,01,19,0.309,2016
110,Say You Won't Let Go,James Arthur,1847593,4,2018,01,19,0.494,2016
111,What Ifs,Kane Brown,1811979,4,2018,01,19,0.687,2016
120,That's What I Like,Bruno Mars,1758419,4,2018,01,19,0.86,2016
129,No Role Modelz,J. Cole,1670716,4,2018,01,19,0.463,2014
144,Mi Gente,J Balvin,1580818,4,2018,01,19,0.469,2020
152,One Dance,Drake,1510451,4,2018,01,19,0.37,2016
153,Closer,The Chainsmokers,1509558,4,2018,01,19,0.661,2016
160,Don't,Bryson Tiller,1501241,4,2018,01,19,0.189,2015
164,Die For You,The Weeknd,1479123,4,2018,01,19,0.51,2016
177,'Till I Collapse,Eminem,1407116,4,2018,01,19,0.1,2002
178,Starboy,The Weeknd,1405718,4,2018,01,19,0.486,2016
179,Heartache On The Dance Floor,Jon Pardi,1399255,4,2018,01,19,0.618,2016
181,X,21 Savage,1397926,4,2018,01,19,0.111,2016
182,Broccoli,Shelley FKA DRAM,1390303,4,2018,01,19,0.708,2016
190,No Option,Post Malone,1369940,4,2018,01,19,0.494,2016
191,Money Longer,Lil Uzi Vert,1369576,4,2018,01,19,0.478,2016
198,pick up the phone,Young Thug,1328365,4,2018,01,19,0.459,2016
7,I Fall Apart,Post Malone,6547244,5,2018,01,26,0.291,2016
41,Congratulations,Post Malone,4032900,5,2018,01,26,0.492,2016
79,Redbone,Childish Gambino,2550753,5,2018,01,26,0.572,2016
105,That's What I Like,Bruno Mars,2027431,5,2018,01,26,0.86,2016
116,What Ifs,Kane Brown,1943763,5,2018,01,26,0.687,2016
130,Say You Won't Let Go,James Arthur,1825617,5,2018,01,26,0.494,2016
153,No Role Modelz,J. Cole,1684035,5,2018,01,26,0.463,2014
168,One Dance,Drake,1546361,5,2018,01,26,0.37,2016
170,PRBLMS,6LACK,1532444,5,2018,01,26,0.139,2016
173,Mi Gente,J Balvin,1508737,5,2018,01,26,0.469,2020
174,Closer,The Chainsmokers,1490649,5,2018,01,26,0.661,2016
175,Don't,Bryson Tiller,1490232,5,2018,01,26,0.189,2015
179,Die For You,The Weeknd,1458519,5,2018,01,26,0.51,2016
184,Exchange,Bryson Tiller,1445329,5,2018,01,26,0.276,2015
186,Starboy,The Weeknd,1436624,5,2018,01,26,0.486,2016
191,Money Longer,Lil Uzi Vert,1412908,5,2018,01,26,0.478,2016
194,'Till I Collapse,Eminem,1396788,5,2018,01,26,0.1,2002
197,X,21 Savage,1393093,5,2018,01,26,0.111,2016
9,I Fall Apart,Post Malone,6669431,6,2018,02,02,0.291,2016
34,Congratulations,Post Malone,3800805,6,2018,02,02,0.492,2016
57,goosebumps,Travis Scott,2941731,6,2018,02,02,0.442,2016
78,Redbone,Childish Gambino,2367094,6,2018,02,02,0.572,2016
84,Go Flex,Post Malone,2195769,6,2018,02,02,0.127,2016
95,What Ifs,Kane Brown,1949667,6,2018,02,02,0.687,2016
99,White Iverson,Post Malone,1869038,6,2018,02,02,0.309,2016
108,Say You Won't Let Go,James Arthur,1795802,6,2018,02,02,0.494,2016
112,That's What I Like,Bruno Mars,1777787,6,2018,02,02,0.86,2016
130,No Role Modelz,J. Cole,1677675,6,2018,02,02,0.463,2014
141,Dreams and Nightmares,Meek Mill,1621023,6,2018,02,02,0.44,2012
160,Don't,Bryson Tiller,1476424,6,2018,02,02,0.189,2015
162,Mi Gente,J Balvin,1465761,6,2018,02,02,0.469,2020
163,PRBLMS,6LACK,1461717,6,2018,02,02,0.139,2016
165,Die For You,The Weeknd,1450830,6,2018,02,02,0.51,2016
166,One Dance,Drake,1447555,6,2018,02,02,0.37,2016
167,Closer,The Chainsmokers,1445168,6,2018,02,02,0.661,2016
