month,num_songs_with_low_valence,ratio,valence_mean,valence_median,total_sad_song_streams,total_streams,ratio_of_sad_song_streams,streams_divided_by_valence_mean
January,222,0.222,0.2544,0.276,654961301,2587449066,0.253130123,522131139
February,189,0.23625,0.2622,0.276,527071033,2231967506,0.236146374,417581233
March,203,0.203,0.2582,0.26,537912860,2864436280,0.18779013,427525719
April,149,0.18625,0.2536,0.284,411820264,2642696833,0.155833336,328510102
May,134,0.1675,0.2674,0.291,362114432,2382321852,0.152000634,285714401
June,183,0.183,0.2689,0.291,470654821,3176504081,0.148167548,370915612
July,151,0.18875,0.2627,0.286,365084447,2388900719,0.152825291,289129996
August,197,0.197,0.2787,0.287,507242893,2982069474,0.170097611,396686394
September,170,0.2125,0.282,0.2875,468834660,2413699059,0.19423907,365705663
October,198,0.2475,0.2795,0.287,529183766,2384344273,0.221941006,413586374
November,262,0.262,0.2858,0.2925,734484198,2993450853,0.245363707,571227405
December,162,0.27,0.2834,0.294,507766604,1952117622,0.26011066,395641736
