,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"thank u, next","Ariana Grande",17110866,https://open.spotify.com/track/2rPE9A1vEgShuZxxzR2tZH
2,"Going Bad (feat. Drake)","Meek Mill",11603462,https://open.spotify.com/track/2IRZnDFmlqMuOrYOLnZZyc
3,"SICKO MODE","Travis Scott",9811685,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
4,"Mo Bamba","Sheck Wes",9581157,https://open.spotify.com/track/1xzBco0xcoJEDXktl7Jxrr
5,"ZEZE (feat. Travis Scott & Offset)","Kodak Black",9144706,https://open.spotify.com/track/7l3E7lcozEodtVsSTCkcaA
6,"Drip Too Hard (Lil Baby & Gunna)","Lil Baby",9140654,https://open.spotify.com/track/78QR3Wp35dqAhFEc2qAGjE
7,"Without Me",Halsey,8614543,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
8,"TIC TOC",6ix9ine,7885590,https://open.spotify.com/track/4m5Cd9kAbIxg6t9sMrQWtk
9,KIKA,6ix9ine,7347783,https://open.spotify.com/track/6Gy7rXB6Ku5vIWC7WGWsl3
10,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",7170999,https://open.spotify.com/track/1A6OTy97kk0mMdm78rHsm8
11,"All I Want for Christmas Is You","Mariah Carey",6890163,https://open.spotify.com/track/0bYg9bo50gSsH3LtXe2SQn
12,"Lucid Dreams","Juice WRLD",6070061,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf
13,"Wake Up in the Sky","Gucci Mane",5841986,https://open.spotify.com/track/0QIjsbm2fh1cJ45XO9eGqq
14,BAD!,XXXTENTACION,5574204,https://open.spotify.com/track/4CH66Rxcjcj3VBHwmIBj4T
15,MAMA,6ix9ine,5562597,https://open.spotify.com/track/1oJ8EDr2pv94IvSd6ZmDgo
16,"when the party's over","Billie Eilish",5426933,https://open.spotify.com/track/14JzyD6FlBD5z0wV5P07YI
17,"Armed And Dangerous","Juice WRLD",5402507,https://open.spotify.com/track/6SAKXCj5jyF6IgPCPbZ5ra
18,"Nuketown (feat. Juice WRLD)","Ski Mask The Slump God",5394759,https://open.spotify.com/track/74lnM5V6ecvoTPV0fvptx9
19,WAKA,6ix9ine,5380340,https://open.spotify.com/track/6o79O9qBP3OAkWOXajAQIS
20,"Santa Tell Me","Ariana Grande",5369424,https://open.spotify.com/track/0lizgQ7Qw35od7CYaoMBZb
21,"Jingle Bell Rock","Bobby Helms",5344165,https://open.spotify.com/track/7vQbuQcyTflfCIOu3Uzzya
22,Happier,Marshmello,5334848,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
23,"Leave Me Alone","Flipp Dinero",5223586,https://open.spotify.com/track/14mHfNsSHN0FbLftyjrV9g
24,SAD!,XXXTENTACION,5114912,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
25,"Rockin' Around The Christmas Tree","Brenda Lee",5081640,https://open.spotify.com/track/2EjXfH91m7f8HiJN1yQg97
26,"FEFE (feat. Nicki Minaj & Murda Beatz)",6ix9ine,4984462,https://open.spotify.com/track/2E124GmJRnBJuXbTb4cPUB
27,Better,Khalid,4925793,https://open.spotify.com/track/6zeeWid2sgw4lap2jV61PZ
28,"On Me (feat. Cardi B)","Meek Mill",4913758,https://open.spotify.com/track/3DnZfpfe8wLeJgzc00gKeW
29,Moonlight,XXXTENTACION,4668086,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
30,"MIA (feat. Drake)","Bad Bunny",4621957,https://open.spotify.com/track/116H0KvKr2Zl4RPuVBruDO
31,"It's the Most Wonderful Time of the Year","Andy Williams",4572463,https://open.spotify.com/track/5hslUAKq9I9CG2bAulFkHN
32,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake",4567241,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
33,"Better Now","Post Malone",4522205,https://open.spotify.com/track/7dt6x5M1jzdTEt8oCbisTK
34,"Foot Fungus","Ski Mask The Slump God",4434976,https://open.spotify.com/track/3EikYy40GMSp8l5mDV6IQo
35,"Arms Around You (feat. Maluma & Swae Lee)",XXXTENTACION,4404960,https://open.spotify.com/track/2LskIZrCeLxRvCiGP8gxlh
36,"Nothing Breaks Like a Heart (feat. Miley Cyrus)","Mark Ronson",4352306,https://open.spotify.com/track/27rdGxbavYJeBphck5MZAF
37,"Uptown Vibes (feat. Fabolous & Anuel AA)","Meek Mill",4326149,https://open.spotify.com/track/2tnlNVAhuQGgoFJxALVeXx
38,"10 Freaky Girls (with 21 Savage)","Metro Boomin",4242765,https://open.spotify.com/track/0AluA5RNsa4Cx6XRhf2hWZ
39,Nonstop,Drake,4225841,https://open.spotify.com/track/0TlLq3lA83rQOYtrqBqSct
40,"come out and play","Billie Eilish",4187087,https://open.spotify.com/track/7wC5eZcFS1Q1BsQ35DU6H4
