,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"Nice For What",Drake,17735489,https://open.spotify.com/track/1cTZMwcBJT0Ka3UJPXOeeN
2,KOD,"J. Cole",17261815,https://open.spotify.com/track/7yotKA30dwTKNEGomV9ZsI
3,ATM,"J. Cole",14416927,https://open.spotify.com/track/2UciqgwVDwro0fev3MFbxJ
4,"Kevin’s Heart","J. Cole",13841391,https://open.spotify.com/track/6tZ3b7ik1QDXFAZlXib0YZ
5,Motiv8,"J. Cole",13334518,https://open.spotify.com/track/1AT4xjNarTswd0UZ5FlmKF
6,Photograph,"J. Cole",12550185,https://open.spotify.com/track/0bhnUFDQFCEHCBlsQfHnj5
7,"1985 - Intro to “The Fall Off”","J. Cole",12120827,https://open.spotify.com/track/7EulRO07ZgchxqKUHb8Pvc
8,"God's Plan",Drake,11817473,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
9,"no tears left to cry","Ariana Grande",11650452,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9
10,"Psycho (feat. Ty Dolla $ign)","Post Malone",10240679,https://open.spotify.com/track/7wrDRQgHlvDnimrRHfQZxt
11,"The Cut Off (feat. kiLL edward)","J. Cole",10227732,https://open.spotify.com/track/3rFF7kSm5qBOOPs6ljFgPp
12,"I Like It","Cardi B",10003237,https://open.spotify.com/track/58q2HKrzhC3ozto2nDdN4z
13,BRACKETS,"J. Cole",9904307,https://open.spotify.com/track/5sWbwccBcyHsg5LEKWGZo9
14,"Look Alive (feat. Drake)","BlocBoy JB",9123318,https://open.spotify.com/track/4qKcDkK6siZ7Jp1Jb4m0aL
15,"Window Pain - Outro","J. Cole",8624922,https://open.spotify.com/track/5Lgqu1th1KqlG97OF2gWGe
16,SAD!,XXXTENTACION,8499423,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
17,"FRIENDS (feat. kiLL edward)","J. Cole",8391889,https://open.spotify.com/track/6onwlDmIVKE8bBgyBRSuS0
18,"Call Out My Name","The Weeknd",8317256,https://open.spotify.com/track/1gm616Plq4ScqNi7TVkZ5N
19,"Once an Addict - Interlude","J. Cole",8111000,https://open.spotify.com/track/0Px86mRlxdB3YqpK6KXWlr
20,"Plug Walk","Rich The Kid",7738396,https://open.spotify.com/track/6mAz8D1TmlTuef90dbNIiZ
21,"Walk It Talk It",Migos,7400016,https://open.spotify.com/track/6n4U3TlzUGhdSFbUUhTvLP
22,"Freaky Friday (feat. Chris Brown)","Lil Dicky",7256379,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ
23,JAPAN,"Famous Dex",6718011,https://open.spotify.com/track/5PTG6rrL6EPFD9E2QMI2pl
24,Intro,"J. Cole",6597743,https://open.spotify.com/track/2AfWCBwGGCsZtvVnGF3QYE
25,"Love Lies (with Normani)",Khalid,6072482,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
26,"Be Careful","Cardi B",6032339,https://open.spotify.com/track/2Yl4OmDby9iitgNWZPwxkd
27,"Ric Flair Drip (& Metro Boomin)",Offset,6027210,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
28,OTW,Khalid,5979674,https://open.spotify.com/track/6Hgh47WXVKtXN5zGOu0hjI
29,"Powerglide (feat. Juicy J)","Rae Sremmurd",5831149,https://open.spotify.com/track/2yUbCEiaolfSMluDo9RMmG
30,"The Middle",Zedd,5627202,https://open.spotify.com/track/2ARqIya5NAuvFVHSN3bL0m
31,Mine,Bazzi,5371506,https://open.spotify.com/track/7uzmGiiJyRfuViKKK3lVmR
32,"One Kiss (with Dua Lipa)","Calvin Harris",5201374,https://open.spotify.com/track/7ef4DlsgrMEH11cDZd32M6
33,"All The Stars (with SZA)","Kendrick Lamar",5151838,https://open.spotify.com/track/3GCdLUSnKSMJhs4Tj6CV3s
34,Moonlight,XXXTENTACION,4907908,https://open.spotify.com/track/0JP9xo3adEtGSdUEISiszL
35,rockstar,"Post Malone",4784650,https://open.spotify.com/track/2U7Hu2RaNQNRi7izoJyZaX
36,"Playinwitme (feat. Kehlani)",KYLE,4687955,https://open.spotify.com/track/43cFjTTCD9Cni4aSL0sORz
37,"King's Dead (with Kendrick Lamar, Future & James Blake)","Jay Rock",4646172,https://open.spotify.com/track/51rXHuKN8Loc4sUlKPODgH
38,"I Fall Apart","Post Malone",4637485,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
39,Esskeetit,"Lil Pump",4616499,https://open.spotify.com/track/44KKhCyI0BGS6LvVyDqJtH
40,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4600560,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
41,FRIENDS,Marshmello,4544453,https://open.spotify.com/track/08bNPGLD8AhKpnnERrAc6G
42,"Stir Fry",Migos,4342001,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
43,Chun-Li,"Nicki Minaj",4071090,https://open.spotify.com/track/2gTYVoQCUh0QNUaFix01ld
44,"Wake Me Up - Radio Edit",Avicii,3949686,https://open.spotify.com/track/6g1NlCpW7fgqDnWbCCDrHl
45,Everyday,Logic,3743129,https://open.spotify.com/track/4EAV2cKiqKP5UPZmY6dejk
46,"Wasted Times","The Weeknd",3715482,https://open.spotify.com/track/72TyiiduRmczEbDIEtKQdR
