,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"God's Plan",Drake,24209854,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY
2,"Stir Fry",Migos,9236997,https://open.spotify.com/track/2UVbBKQOdFAekPTRsnkzcf
3,"Pray For Me (with Kendrick Lamar)","The Weeknd",8001628,https://open.spotify.com/track/4ofvoCdXq99vpMZO4Cfp8x
4,Mine,Bazzi,7781736,https://open.spotify.com/track/6tHWl8ows5JOZq9Yfaqn3M
5,rockstar,"Post Malone",7700941,https://open.spotify.com/track/1OmcAT5Y8eg5bUPv9qJT4R
6,"Finesse - Remix; feat. Cardi B","Bruno Mars",7065926,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i
7,Narcos,Migos,6699402,https://open.spotify.com/track/0wbnC9AUenxp613TYaJsGK
8,"The Middle",Zedd,6689374,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc
9,"I Fall Apart","Post Malone",6669431,https://open.spotify.com/track/75ZvA4QfFiZvzhj2xkaWAh
10,"All The Stars (with SZA)","Kendrick Lamar",6137052,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y
11,"Ric Flair Drip (& Metro Boomin)",Offset,5971770,https://open.spotify.com/track/7sO5G9EABYOXQKNPNiE9NR
12,"Bartier Cardi (feat. 21 Savage)","Cardi B",5876902,https://open.spotify.com/track/75FDPwaULRdYDn4StFN2rT
13,"LOVE. FEAT. ZACARI.","Kendrick Lamar",5382911,https://open.spotify.com/track/6PGoSes0D9eUDeeAafB2As
14,"Havana (feat. Young Thug)","Camila Cabello",5369885,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W
15,"Never Be the Same","Camila Cabello",5340354,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ
16,"Say Something (feat. Chris Stapleton)","Justin Timberlake",5259718,https://open.spotify.com/track/1LhMopPAallLeaeNutqbgS
17,"No Limit",G-Eazy,5153127,https://open.spotify.com/track/2DQ1ITjI0YoLFzuADN1ZBW
18,"PICK IT UP (feat. A$AP Rocky)","Famous Dex",5104068,https://open.spotify.com/track/3ncgNpxLoBQ65ABk4djDyd
19,"Let You Down",NF,4925603,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr
20,MotorSport,Migos,4883906,https://open.spotify.com/track/4wFjTWCunQFKtukqrNijEt
21,"Meant to Be (feat. Florida Georgia Line)","Bebe Rexha",4709982,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn
